experiment,size,mode,policy,length,templatesRequiringLength,minSlots,maxSlots,medianSlots,minCandidates,maxCandidates
"budget4","9","ar_to_en","compatibility","4","58","1","8","4","279","279"
"budget4","9","ar_to_en","compatibility","5","69","1","7","3","279","279"
"budget4","9","ar_to_en","compatibility","7","21","1","4","2","279","279"
"budget4","9","ar_to_en","compatibility","9","72","4","7","4","279","279"
"budget4","9","ar_to_en","compatibility","8","9","1","2","1","279","279"
"budget4","11","ar_to_en","compatibility","3","72","13","36","19","217","217"
"budget4","11","ar_to_en","compatibility","4","71","2","18","8","217","217"
"budget4","11","ar_to_en","compatibility","5","60","1","14","5","217","217"
"budget4","11","ar_to_en","compatibility","7","42","1","5","1","217","217"
"budget4","11","ar_to_en","compatibility","11","72","4","6","4","217","217"
"budget4","11","ar_to_en","compatibility","6","56","1","8","4","217","217"
"budget4","11","ar_to_en","compatibility","9","11","1","2","1","217","217"
"budget4","11","ar_to_en","approved-only","3","72","13","30","19.5","120","120"
"budget4","11","ar_to_en","approved-only","4","72","1","20","7","269","269"
"budget4","11","ar_to_en","approved-only","5","64","1","12","4","266","266"
"budget4","11","ar_to_en","approved-only","6","64","1","9","4","239","239"
"budget4","11","ar_to_en","approved-only","7","45","1","5","2","219","219"
"budget4","11","ar_to_en","approved-only","11","72","4","6","4","28","28"
"budget4","11","ar_to_en","approved-only","10","2","2","2","2","54","54"
"budget4","11","ar_to_en","approved-only","9","6","1","2","2","78","78"
"budget4","13","ar_to_en","compatibility","3","72","18","47","29","177","177"
"budget4","13","ar_to_en","compatibility","4","72","2","24","9.5","178","178"
"budget4","13","ar_to_en","compatibility","5","68","1","14","6","178","178"
"budget4","13","ar_to_en","compatibility","6","66","1","10","4","178","178"
"budget4","13","ar_to_en","compatibility","7","55","1","6","2","178","178"
"budget4","13","ar_to_en","compatibility","13","72","4","5","4","177","177"
"budget4","13","ar_to_en","compatibility","9","21","1","2","1","178","178"
"budget4","13","ar_to_en","compatibility","8","29","1","6","2","178","178"
"budget4","13","ar_to_en","compatibility","10","2","1","1","1","177","177"
"budget4","13","ar_to_en","compatibility","12","3","1","1","1","177","177"
"budget4","13","ar_to_en","approved-only","3","72","16","46","30","120","120"
"budget4","13","ar_to_en","approved-only","4","70","2","24","8","269","269"
"budget4","13","ar_to_en","approved-only","5","70","1","16","6.5","266","266"
"budget4","13","ar_to_en","approved-only","6","60","1","12","4.5","239","239"
"budget4","13","ar_to_en","approved-only","7","47","1","5","2","219","219"
"budget4","13","ar_to_en","approved-only","13","72","4","6","4","8","8"
"budget4","13","ar_to_en","approved-only","8","36","1","4","1","167","167"
"budget4","13","ar_to_en","approved-only","9","20","1","4","1","78","78"
"budget4","13","en_to_ar","compatibility","2","18","26","52","42","172","172"
"budget4","13","en_to_ar","compatibility","3","18","10","32","15.5","172","172"
"budget4","13","en_to_ar","compatibility","4","18","4","15","9.5","173","173"
"budget4","13","en_to_ar","compatibility","5","18","2","9","5","173","173"
"budget4","13","en_to_ar","compatibility","6","15","1","4","2","173","173"
"budget4","13","en_to_ar","compatibility","9","6","1","2","1.5","172","172"
"budget4","13","en_to_ar","compatibility","10","6","1","4","1","172","172"
"budget4","13","en_to_ar","compatibility","13","7","1","3","1","103","103"
"budget4","13","en_to_ar","compatibility","7","12","1","3","1","173","173"
"budget4","13","en_to_ar","compatibility","8","8","1","4","1","173","173"
"budget4","13","en_to_ar","compatibility","11","2","1","1","1","172","172"
"budget4","13","en_to_ar","approved-only","2","18","26","52","42","50","50"
"budget4","13","en_to_ar","approved-only","3","18","10","32","15.5","324","324"
"budget4","13","en_to_ar","approved-only","4","18","4","15","9.5","325","325"
"budget4","13","en_to_ar","approved-only","5","18","2","9","5","324","324"
"budget4","13","en_to_ar","approved-only","6","15","1","4","2","324","324"
"budget4","13","en_to_ar","approved-only","9","6","1","2","1.5","94","94"
"budget4","13","en_to_ar","approved-only","10","6","1","4","1","24","24"
"budget4","13","en_to_ar","approved-only","13","7","1","3","1","2","2"
"budget4","13","en_to_ar","approved-only","7","12","1","3","1","324","324"
"budget4","13","en_to_ar","approved-only","8","8","1","4","1","180","180"
"budget4","13","en_to_ar","approved-only","11","2","1","1","1","16","16"
"budget4","9","ar_to_en","compatibility","6","1","1","1","1","279","279"
"budget4","11","ar_to_en","approved-only","8","4","1","2","1","167","167"
"budget4","13","ar_to_en","compatibility","11","2","2","2","2","177","177"
"budget4","13","ar_to_en","approved-only","12","2","1","2","1.5","14","14"
